ID,City,Area_sqft,Bedrooms,Bathrooms,Age,Price_Lakh,Parking,Owner_Type,Posted_Date
101,Delhi,1200.0,3.0,2.0,10.0,85.0,Yes,First,2026-01-10
102,Delhi,1500.0,4.0,3.0,5.0,110.0,Yes,Second,2026-01-12
103,Jaipur,900.0,2.0,1.0,15.0,45.0,No,First,2026-01-15
104,Mumbai,850.0,2.0,2.0,8.0,95.0,Yes,First,2026-01-18
105,Delhi,2000.0,4.0,3.0,3.0,150.0,Yes,First,2026-01-20
106,Jaipur,1100.0,3.0,2.0,12.0,60.0,No,Second,2026-01-22
107,Mumbai,1300.0,3.0,2.0,7.0,125.0,Yes,First,2026-01-25
108,Delhi,1600.0,4.0,3.0,6.0,115.0,Yes,Second,2026-01-27
109,Jaipur,750.0,2.0,1.0,20.0,38.0,No,First,2026-02-01
110,Mumbai,1000.0,3.0,2.0,10.0,105.0,Yes,First,2026-02-03
111,Delhi,1400.0,3.0,,4.0,100.0,Yes,First,2026-02-05
112,Jaipur,,3.0,2.0,9.0,58.0,No,Second,2026-02-07
113,Mumbai,1250.0,,2.0,6.0,118.0,Yes,First,2026-02-10
114,Delhi,1800.0,4.0,3.0,,135.0,Yes,First,2026-02-12
115,Jaipur,950.0,2.0,1.0,18.0,,No,First,2026-02-15
116,Mumbai,1450.0,3.0,2.0,5.0,130.0,Yes,,2026-02-18
117,Delhi,1550.0,4.0,3.0,2.0,120.0,Yes,Second,2026-02-20
118,Jaipur,800.0,2.0,1.0,25.0,40.0,No,First,2026-02-22
119,Mumbai,900.0,2.0,2.0,11.0,98.0,Yes,First,2026-02-25
120,Delhi,2100.0,5.0,4.0,1.0,180.0,Yes,First,2026-02-27
120,Delhi,2100.0,5.0,4.0,1.0,180.0,Yes,First,2026-02-27
121,Delhi,1700.0,4.0,3.0,5.0,140.0,Yes,First,2026-03-01
122,Jaipur,1000.0,3.0,2.0,14.0,55.0,No,Second,2026-03-03
123,Mumbai,1350.0,3.0,2.0,8.0,122.0,Yes,First,2026-03-05
124,Delhi,-500.0,3.0,2.0,7.0,90.0,Yes,First,2026-03-07
125,Jaipur,900.0,8.0,1.0,16.0,48.0,No,First,2026-03-10
126,Mumbai,1200.0,3.0,7.0,6.0,115.0,Yes,First,2026-03-12
127,Delhi,2500.0,5.0,4.0,2.0,220.0,Yes,First,2026-03-15
128,Jaipur,850.0,2.0,1.0,-5.0,42.0,No,First,2026-03-18
129,Mumbai,1100.0,3.0,2.0,9.0,105.0,Yes,First,2026-03-20
130,Delhi,10000.0,4.0,3.0,4.0,900.0,Yes,First,2026-03-22
131,Jaipur,1050.0,3.0,2.0,13.0,58.0,No,Second,2026-03-25
132,Mumbai,1400.0,3.0,2.0,7.0,128.0,Yes,First,2026-03-27
133,Delhi,1600.0,4.0,3.0,6.0,125.0,Yes,Second,2026-03-30
134,Jaipur,950.0,2.0,1.0,19.0,43.0,No,First,2026-04-02
135,Mumbai,1300.0,3.0,2.0,8.0,120.0,Yes,First,2026-04-05
